iter	MultiClass
202	1.094775188
203	1.093204067
204	1.09121298
205	1.089269485
206	1.087581705
207	1.085917359
208	1.083936234
209	1.082453541
210	1.080900939
211	1.079845477
212	1.077973598
213	1.076771194
214	1.074186179
215	1.072325446
216	1.070193656
217	1.068473237
218	1.066569625
219	1.065162707
220	1.063543429
221	1.061789801
222	1.060268618
223	1.058616573
224	1.056822396
225	1.055538352
226	1.053958376
227	1.052035389
228	1.050112943
229	1.048281826
230	1.046848072
231	1.045449103
232	1.043593929
233	1.042054116
234	1.040722695
235	1.039085336
236	1.037297369
237	1.035707546
238	1.034837827
239	1.032975697
240	1.031294343
241	1.030214534
242	1.029008056
243	1.026981226
244	1.025207966
245	1.024276097
246	1.022623189
247	1.020816236
248	1.019603042
249	1.018057206
250	1.016326574
251	1.014650472
252	1.012897947
253	1.011489901
254	1.010228818
255	1.008637888
256	1.007280145
257	1.006061536
258	1.004526063
259	1.003189641
260	1.001977246
261	1.000269666
262	0.9984916539
263	0.9975582038
264	0.9968513035
265	0.9957407136
266	0.994456199
267	0.9934047034
268	0.9923007567
269	0.9907696889
270	0.9897215097
271	0.988308291
272	0.9872955949
273	0.9858997646
274	0.9845728514
275	0.9830639618
276	0.9813722205
277	0.9804734024
278	0.9793981761
279	0.9787585527
280	0.9777330656
281	0.9767856103
282	0.9754871381
283	0.9749314237
284	0.9740074767
285	0.9727547268
286	0.9714806724
287	0.9699104935
288	0.9690182802
289	0.9682313886
290	0.9669513413
291	0.9657807333
292	0.9647183171
293	0.9636824345
294	0.9623327532
295	0.961805361
296	0.9603213294
297	0.9594187891
298	0.9581105333
299	0.9568913805
300	0.9555853039
301	0.9543237986
302	0.9536046623
303	0.9520423343
304	0.9504856857
305	0.94921767
306	0.9479939806
307	0.9470896061
308	0.9460391672
309	0.944606502
310	0.9439667844
311	0.9433778933
312	0.9424310371
313	0.9419081847
314	0.9407459547
315	0.9392971801
316	0.9386175898
317	0.9373677577
318	0.9361666539
319	0.9355347888
320	0.9343683786
321	0.9333841551
322	0.9320559405
323	0.9313968771
324	0.930542424
325	0.930029462
326	0.9291576535
327	0.9287375147
328	0.9282631835
329	0.9270103953
330	0.9260805119
331	0.9248355859
332	0.9237365673
333	0.9230362701
334	0.9222949668
335	0.9211453527
336	0.9201883687
337	0.9194187609
338	0.9186880883
339	0.9176490118
340	0.9168421767
341	0.9158418429
342	0.9146152158
343	0.9138470097
344	0.9127859076
345	0.9124621427
346	0.9115107734
347	0.91050843
348	0.9098622423
349	0.9092406618
350	0.9083390983
351	0.9070327893
352	0.9057777654
353	0.9048665021
354	0.9038381826
355	0.9027883652
356	0.9024770581
357	0.9017953768
358	0.9013123286
359	0.9005127415
360	0.8996072696
361	0.8986661581
362	0.8982016765
363	0.8975344689
364	0.8966488787
365	0.8954291551
366	0.8944189317
367	0.8931189786
368	0.8924513234
369	0.891799358
370	0.8906323923
371	0.8896909211
372	0.888823665
373	0.8879918703
374	0.8876814038
375	0.8863780656
376	0.8857171438
377	0.8845969361
378	0.8837477101
379	0.8826442352
380	0.8818117495
381	0.8810034942
382	0.8801958393
383	0.8796479449
384	0.8792391344
385	0.878753373
386	0.8785333839
387	0.8781939933
388	0.8772790426
389	0.8768437686
390	0.8766066658
391	0.8758814773
392	0.8751021123
393	0.874213737
394	0.8734149257
395	0.8726908052
396	0.8717759527
397	0.8715469776
398	0.8707882542
399	0.8699858988
400	0.8692627521
401	0.8685812426
402	0.8676251055
403	0.8668899897
404	0.8662684476
405	0.8658984955
406	0.8656202556
407	0.8646704667
408	0.8639417117
409	0.8630716887
410	0.8627513021
411	0.8620986638
412	0.8612523013
413	0.8606208308
414	0.8602500551
415	0.8600888289
416	0.8595297037
417	0.8583882024
418	0.85775098
419	0.8570100327
420	0.855975398
421	0.855066482
422	0.8542578341
423	0.8536389623
424	0.8530100703
425	0.8526799799
426	0.8524338818
427	0.8518028131
428	0.8515252029
429	0.8512319866
430	0.8506971533
431	0.8500377939
432	0.8498797106
433	0.8495966876
434	0.8490001665
435	0.8486214572
436	0.8484696012
437	0.8478174449
438	0.847517579
439	0.8468028058
440	0.8466075439
441	0.8457248487
442	0.8450042074
443	0.8444016207
444	0.8437823413
445	0.8433387437
446	0.8426598371
447	0.8423159988
448	0.8414995089
449	0.8412969556
450	0.840863113
451	0.8398624982
452	0.8391676192
453	0.8384070004
454	0.8380501674
455	0.8375832293
456	0.8374378945
457	0.8372910261
458	0.8369141588
459	0.8366246282
460	0.8365065596
