iter	MultiClass
0	2.454621807
1	2.417790585
2	2.383330321
3	2.348250813
4	2.319350053
5	2.28952625
6	2.26741458
7	2.243092193
8	2.215805055
9	2.197424837
10	2.173469557
11	2.148378275
12	2.128179516
13	2.105342373
14	2.086354701
15	2.069739062
16	2.04853445
17	2.030660192
18	2.014740218
19	2.000313331
20	1.98299825
21	1.966830886
22	1.951183593
23	1.935252379
24	1.919920617
25	1.904407689
26	1.89136415
27	1.878267483
28	1.865919952
29	1.852583256
30	1.841419722
31	1.82907798
32	1.817186166
33	1.805363495
34	1.793828471
35	1.783312331
36	1.772523996
37	1.76327858
38	1.753157646
39	1.743223556
40	1.733866631
41	1.723242998
42	1.714505887
43	1.705743835
44	1.696770323
45	1.68786723
46	1.679033373
47	1.671420121
48	1.664104122
49	1.656331317
50	1.648173875
51	1.640465093
52	1.63238134
53	1.624762435
54	1.617759034
55	1.610931302
56	1.604100439
57	1.598047333
58	1.59093118
59	1.58475027
60	1.578394691
61	1.571506306
62	1.564167563
63	1.557609085
64	1.551345076
65	1.544092192
66	1.538325919
67	1.532200497
68	1.527255691
69	1.521195094
70	1.515281975
71	1.510662911
72	1.505365868
73	1.499222343
74	1.493569371
75	1.488350242
76	1.482716179
77	1.477487305
78	1.472439119
79	1.467974002
80	1.461919115
81	1.456840057
82	1.452418424
83	1.447977036
84	1.44332139
85	1.438028057
86	1.432952311
87	1.428638503
88	1.42344147
89	1.418426047
90	1.414077312
91	1.409030721
92	1.404915984
93	1.40029472
94	1.395635245
95	1.391484279
96	1.386889533
97	1.382665678
98	1.379004521
99	1.375132401
100	1.370458549
101	1.36578506
102	1.362092827
103	1.357567833
104	1.354506009
105	1.351003794
106	1.34686352
107	1.343064636
108	1.33929213
109	1.335942562
110	1.332403927
111	1.328888836
112	1.325222575
113	1.320180927
114	1.316212945
115	1.312376677
116	1.309161902
117	1.305761902
118	1.301742024
119	1.298265302
120	1.295013039
121	1.291903047
122	1.288928849
123	1.2857887
124	1.281744255
125	1.278580329
126	1.275460123
127	1.272131536
128	1.268647493
129	1.26582457
130	1.262624369
131	1.260109833
132	1.257319949
133	1.254259299
134	1.251707545
135	1.248227433
136	1.245240699
137	1.242538345
138	1.24000516
139	1.236303462
140	1.233076701
141	1.23021201
142	1.227521233
143	1.22478406
144	1.222174575
145	1.219820851
146	1.217160457
147	1.214495234
148	1.211744224
149	1.208718139
150	1.206426741
151	1.203431135
152	1.201743905
153	1.198899424
154	1.196571928
155	1.193875296
156	1.191024205
157	1.189271071
158	1.18697872
159	1.185152752
160	1.182360978
161	1.180518553
162	1.178212655
163	1.176453427
164	1.17384157
165	1.171294732
166	1.169112759
167	1.166939857
168	1.16421904
169	1.162068768
170	1.159581562
171	1.157233986
172	1.155116364
173	1.152898563
174	1.15079033
175	1.148517035
176	1.146729353
177	1.144603017
178	1.1425856
179	1.140848749
180	1.138983412
181	1.13687981
182	1.134474732
183	1.132695108
184	1.130367811
185	1.128439703
186	1.126528875
187	1.124039147
188	1.122195855
189	1.119753104
190	1.117363064
191	1.115695185
192	1.114044333
193	1.112608744
194	1.110122221
195	1.10776611
196	1.105691947
197	1.103700086
198	1.102118279
199	1.100040744
200	1.09796016
201	1.09630053
